Bovino para carne,,,,,,,,,,
,,,,,,,,,,
Población ganadera,,,,,,,,,,
,,,,,,,,,,
2014-2023,,,,,,,,,,
,,,,,,,,,,
Cabezas,,,,,,,,,,
,,,,,,,,,,
Estado/Delegación,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023P
Aguascalientes,"61,031","63,052","71,412","76,229","80,537","82,377","85,654","88,623","91,647","93,990"
Baja California,"200,645","197,548","204,877","206,428","216,213","235,834","248,347","254,966","260,846","263,305"
Baja California Sur,"145,715","146,683","150,336","154,409","155,231","152,050","149,559","144,636","145,651","146,654"
Campeche,"637,750","659,243","637,267","653,553","662,568","658,850","662,835","668,329","673,713","677,246"
Coahuila,"397,454","426,871","421,687","402,947","422,094","433,030","466,888","474,575","477,013","481,850"
Colima,"159,115","157,228","166,259","163,504","167,467","173,533","177,845","181,572","187,217","190,817"
Chiapas,"2,622,018","2,639,090","2,544,195","2,512,975","2,541,593","2,562,560","2,579,857","2,595,482","2,612,018","2,633,463"
Chihuahua,"1,708,423","1,804,348","2,054,634","2,103,645","2,181,116","2,209,657","2,221,569","2,233,035","2,241,683","2,245,810"
Ciudad de México,"2,544","2,384","2,176","2,267","2,286","2,299","2,294","2,330","2,332","2,356"
Durango,"1,012,676","1,186,975","1,182,851","1,257,705","1,281,047","1,295,252","1,301,570","1,328,361","1,347,001","1,364,046"
Guanajuato,"773,238","762,121","749,214","755,673","728,977","745,554","761,091","773,267","787,126","800,667"
Guerrero,"1,385,886","1,376,995","1,285,418","1,300,777","1,304,729","1,308,094","1,303,050","1,307,909","1,311,921","1,315,211"
Hidalgo,"441,319","440,227","439,433","438,599","444,554","448,606","452,071","452,973","461,160","468,962"
Jalisco,"2,713,874","2,702,167","2,796,911","2,854,034","2,927,995","2,952,162","2,983,967","3,039,756","3,080,387","3,115,594"
Estado de México,"516,935","531,525","541,353","542,834","541,412","547,231","559,091","566,615","575,994","585,274"
Michoacán,"1,835,027","1,827,710","1,861,754","1,823,644","1,884,204","1,940,356","1,969,495","1,978,505","1,986,051","1,992,630"
Morelos,"115,602","130,304","135,933","133,391","134,701","136,971","137,888","138,954","140,365","141,844"
Nayarit,"676,964","666,136","685,500","716,462","643,042","647,090","650,941","653,878","654,561","655,114"
Nuevo León,"472,083","499,886","493,007","510,899","534,176","560,297","568,085","579,237","589,681","597,670"
Oaxaca,"1,651,845","1,653,220","1,676,725","1,720,061","1,763,130","1,791,270","1,804,508","1,812,643","1,817,782","1,822,123"
Puebla,"495,563","515,184","506,673","508,976","521,535","524,428","542,293","548,516","558,866","568,973"
Querétaro,"229,138","217,164","224,767","216,189","224,779","225,405","229,248","233,658","237,656","240,055"
Quintana Roo,"117,661","116,888","107,365","121,495","122,814","124,952","121,274","122,193","123,014","123,747"
San Luis Potosí,"767,363","776,844","840,967","899,533","980,396","985,729","1,004,021","1,020,109","1,030,156","1,038,179"
Sinaloa,"1,544,567","1,526,698","1,504,429","1,591,251","1,593,129","1,597,109","1,618,237","1,623,116","1,635,771","1,648,652"
Sonora,"1,410,170","1,506,045","1,558,245","1,613,232","1,690,731","1,632,710","1,644,789","1,629,922","1,633,062","1,635,735"
Tabasco,"1,568,332","1,578,990","1,610,340","1,644,858","1,645,901","1,668,592","1,681,032","1,688,721","1,700,768","1,710,414"
Tamaulipas,"1,365,484","1,362,012","1,187,199","1,206,710","1,176,573","1,191,427","1,198,314","1,209,225","1,215,846","1,219,404"
Tlaxcala,"38,319","35,272","32,273","30,907","31,822","30,521","30,484","30,617","31,259","31,884"
Veracruz,"4,090,268","4,174,015","4,213,809","4,242,382","4,246,423","4,325,138","4,407,928","4,485,372","4,537,839","4,569,245"
Yucatán,"553,509","533,963","565,030","515,297","561,757","574,247","578,308","581,084","593,190","602,180"
Zacatecas,"798,430","828,152","837,555","850,872","877,667","897,807","904,775","908,190","919,751","922,964"
Total Nacional,"30,508,948","31,044,940","31,289,594","31,771,738","32,290,599","32,661,138","33,047,308","33,356,369","33,661,327","33,906,058"
Región Lagunera,"154,670","285,494","307,022","360,779","362,066","371,958","410,806","432,607","440,142","447,731"
Laguna-Coahuila,"30,021","34,329","38,376","35,410","37,168","39,513","74,629","78,213","77,956","79,151"
Laguna-Durango,"124,649","251,165","268,646","325,369","324,898","332,445","336,177","354,394","362,186","368,580"
Coahuila (Delegación),"367,433","392,542","383,311","367,537","384,926","393,517","392,259","396,362","399,057","402,699"
Durango (Delegación),"888,027","935,810","914,205","932,336","956,149","962,807","965,393","973,967","984,815","995,466"
,,,,,,,,,,
P/ Cifras preliminares.,,,,,,,,,,
,,,,,,,,,,
Fuente: Servicio de Información Agroalimentaria y Pesquera (SIAP).,,,,,,,,,,
