,,,,,,,,,,,,
,"Costo ANUAL por proyecto para 3 unidades (incluye Biofabrica, Capacitación, Mantenimiento y Viaticos)","$905,626.17",,,,,,,,,,
,Costo Anual por Unidad con una extension de 10 hectareas por unidad,"$301,875.39",,,,,,,,,,
,Costo anual por hectarea.,"$10,062.51",,,,,,,,,,
,Total Hectareas,90,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Proyección de gastos,,,,,,,,,,,
,Cantidad,Producto,Precio unitario,Precio total,,,,,,,,
,1,Biofábrica,"$34,693.79","$34,693.79",,,,,,,,
,,Capacitación *,,"$20,000.00",,,,,,,,
,,viáticos,,"$25,000.00",,,,,,,,
,Total,,,"$79,693.79",,,,,,,,
,* Son más de 200 horas de capacitación. ,,,,,,,,,,,
,,,,,,,,,,,,
,Costos de fertilización,,,,,,,,,,,
,COSTO DE INSTALACIÓN PARA 10 HA,,,,,,,Descripción,,Cantidad,Precio unitario,Total
,Capacidad,Cantidad de Piezas,Concepto,Precio Unitario,Costo Total,,,Riego,Hectáreas,," $ 40,000.00 ", $ -   
,20 Lt,1,Microorganismos Líquidos,"$2,000.16","$2,000.16",,,Microorganismos Líquidos,20 Lt,1,"$2,000.16",
,15 kg,1,Salvadillo,$411.48,$411.48,,,Salvadillo,15 kg,1,$411.48,
,,,,,,,,,,,,
,20 Lt,3,Melaza,$324.00,$972.00,,,Melaza,20 Lt,3,$324.00,
,20 kg,3,Leonardita,"$1,620.00","$4,860.00",,,Leonardita,20 kg,3,"$1,620.00",
,4 kg,3,Hidróxido de potasio,"$1,296.00","$3,888.00",,,Hidróxido de potasio,4 kg,3,"$1,296.00",
,15 Lt,3,Minerales quelatados,"$2,700.00","$8,100.00",,,Minerales quelatados,15 Lt,3,"$2,700.00",
,10 Lt,2,Suprasuelo,"$2,160.00","$4,320.00",,,Suprasuelo,10 Lt,2,"$2,160.00",
,10 Kg,2,Tierra de diatomeas,$756.00,"$1,512.00",,,Tierra de diatomeas,10 Kg,2,$756.00,
,200 Lt,2,Tambo,$864.00,"$1,728.00",,,Tambo,200 Lt,2,$864.00,
,1000 Lt,1,Contenedor,"$1,900.80","$1,900.80",,,Contenedor,1000 Lt,1,"$1,900.80",
,20 Lt,2,Cubeta,$108.00,$216.00,,,Cubeta,20 Lt,2,$108.00,
,,,,Total,"$29,908.44",,,,,,,
,,,,IVA,"$4,785.35",,,,,,,
,,,,SUMA TOTAL,"$34,693.79",,,,,,,
,,,,,,,,,,,,
,Proyección de gastos de fertilización bimestral,,,,,,,,,,,
,Consumo bimestral,,,,,,,Otros costos directos,,,,
,Capacidad,Cantidad de Piezas,Concepto,Precio Unitario,Costo Total,,,Description,,Cantidad,Precio unitario,Total
,20 Lt,3,Melaza,$324.00,$972.00,,,Melaza,20 Lt,3,$324.00,
,20 kg,3,Leonardita,"$1,620.00","$4,860.00",,,Leonardita,20 kg,3,"$1,620.00",
,4 kg,3,Hidróxido de potasio,"$1,296.00","$3,888.00",,,Hidróxido de potasio,4 kg,3,"$1,296.00",
,15 Lt,3,Minerales quelatados,"$2,700.00","$8,100.00",,,Minerales quelatados,15 Lt,3,"$2,700.00",
,10 Lt,2,Suprasuelo,"$2,160.00","$4,320.00",,,Suprasuelo,10 Lt,2,"$2,160.00",
,10 Kg,2,Tierra de diatomeas,$756.00,"$1,512.00",,,Tierra de diatomeas,10 Kg,2,$756.00,
,,,,Total,"$23,652.00",,,,,,,
,,,,IVA,"$3,784.32",,,,,,,
,,,,SUMA TOTAL,"$27,436.32",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,PROYECCION ANUAL PARA 3 UNIDADES DE RIEGO ,,,,,,,,,,
,CANTIDAD,UNIDAD ,CONCEPTO,PRECIO UNITARIO.,TOTAL,,,,,,,
,12,MENSUAL,"Capacitacion mensual durante un año, cuatro visitas por mes, con duracion de 5 horas. (3 unidades de producción, con una extencion de 10 hectareas, por unidad)","$20,000.00","$240,000.00",,,,,,,
,3,UNICO,"Instalacion de biofabrica, incluye: insumos, contenedores y mano de obra.","$34,693.79","$104,081.37",,,,,,,
,15,BIMESTRAL,"Mantenimiento y reproduccion de biofabrica por unidad de produccion, de manera bimestral.","$27,436.32","$411,544.80",,,"$13,718.16",,,,
,6,BIMESTRAL.,"Viaticos bimestrales, por visitas para capacitacion teorico-practictico a las unidades de produccion.","$25,000.00","$150,000.00",,,,,,,
,,,,Total,"$905,626.17",,,,,,,
,,,,,,,,,,,,
,,,,Valor Global de Producccion Parcelas,#REF!,,,,,,,
,,,,,,,,,,,,
,,,,Margen Global Proyectado,#REF!,,,,,,,
